,es,en,ru,th,ja
LOGIN,Ingresar,"Log In",,,
SET_SYSTEM,Sistema,"Set System",,,
USER_PH,Usuario,User,,,
PWS_PH,Clave,Password,,,
HAUL,Transporte,Hauling,,,
FAIL,Mecánico,Fail,,,
FUEL,Combustible,Fuel,,,
ACTIVITY,Actividad,Activity,,,
REST,Descanso,Rest,,,
EXPENSE,Gastos,Expenses,,,
STOP,Detener,Stop,,,
START,Iniciar,Start,,,
REFUEL_END,"Fin Tanqueo","End Refuel",,,
REFUELING,"Carga Combustible",Refueling,,,
QTY,Cantidad,Qty,,,
WS_REFUEL,"Tanqueo patio","At Workshop",,,
FLD_REFUEL,"Tanqueo campo","At Field",,,
RECORD,Registrar,Record,,,
AMNT,Valor,Amount,,,
BACK,Regresar,Back,,,
WAIT_TIME,"Tiempo Espera","Service Wait",,,
FAIL_TIRE,"Varada Llanta",Tire,,,
FAIL_MECH,"Varada Mecánica",Mechanical,,,
FAIL_ELEC,"Varada Eléctrica",Electrical,,,
FAIL_HYDR,"Varada Hidraulica",Hydraulics,,,
SERVICE,Servicio,Service,,,
SERVICE_START,"Llegada Mecánico","Start Service",,,
SERVICE_START,Servicio,Service,,,
ORIGIN,Origen,Origin,,,
DESTINATION,Destino,Dest.,,,
END_SHIFT,"Fin Turno","Shift End",,,
EXPENSE_REASON,Concepto,Type,,,
WO,Orden,W.O.,,,
SEARCH_ACT_PH,"Buscar orden o actividad","Search W.O. Or Activity",,,
TERRAIN,Lote,Terrain,,,
SAVE,Guardar,Save,,,
RESULT_CHUNKED_BODY_SIZE_MISMATCH,"Tamaño de paquete de datos parcial incorrecto","CHUNKED BODY SIZE MISMATCH",,,
RESULT_CANT_CONNECT,"Petición fallida durante la conexión","Request failed while connecting.",,,
RESULT_CANT_RESOLVE,"Petición fallida durante la resolución de la dirección","Request failed while resolving",,,
RESULT_CONNECTION_ERROR,"Petición fallida debido a un error en la conexión de (lectura/escritura)","Request failed due to connection(read/write) error.",,,
RESULT_SSL_HANDSHAKE_ERROR,"Petición fallida durante el handshake SSL","Request failed on SSL handshake.",,,
RESULT_BODY_SIZE_LIMIT_EXCEEDED,"Petición excede el limite máximo de tamaño, ver set_body_size_limit()","Request exceeded its maximum size limit, see set_body_size_limit().",,,
RESULT_REQUEST_FAILED,"Petición fallida (no utilizado)","Request failed. (Unused)",,,
RESULT_DOWNLOAD_FILE_CANT_OPEN,"Objeto HTTPRequest no puede abrir archivo de descarga.","HTTPRequest couldn't open the download file.",,,
RESULT_DOWNLOAD_FILE_WRITE_ERROR,"Objeto HTTPRequest no puede escribir en el archivo de descarga","HTTPRequest couldn't write to the download file.",,,
RESULT_REDIRECT_LIMIT_REACHED,"Se ha excedido el límite máximo de redirecciones HTTP permitidas, ver set_max_redirects().","Request reached its maximum redirect limit, see set_max_redirects().",,,
TOOL,Herra.,Tool,,,
TERRAIN,Terreno,Terrain,,,
ACTIVITY_DROP,Actv.,Activity,,,
